TIPO DE INSTITUTO;NIVEL DE FORMACION;CAMPO AMPLIO;CAMPO ESPECIFICO;CAMPO DETALLADO;NOMBRE DEL PROGRAMA
publica;universitario;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;administracion de empresas
publica;universitario;arte y humanidades;humanidades (excepto idiomas);historia y arqueologia;antropologia
publica;universitario;ingenieria, industria y construccion;arquitectura y construccion;arquitectura y urbanismo;arquitectura
publica;universitario;arte y humanidades;artes;bellas artes;artes plasticas
publica;universitario;ciencias naturales, matematicas y estadistica;ciencias biologicas y afines;biologia;biologia
publica;universitario;ciencias sociales, periodismo e informacion;ciencias sociales y del comportamiento;ciencias politicas y educacion civica;ciencia politica
publica;universitario;ciencias naturales, matematicas y estadistica;matematicas y estadistica;matematicas;ciencias de la computacion
publica;universitario;arte y humanidades;artes;tecnicas audiovisuales y produccion para medios de comunicacion;cine y television
publica;universitario;administracion de empresas y derecho;educacion comercial y administracion;contabilidad e impuestos;contaduria publica
publica;universitario;administracion de empresas y derecho;derecho;derecho;derecho
publica;universitario;arte y humanidades;artes;artes no clasificadas en otra parte;diseno grafico
publica;universitario;arte y humanidades;artes;diseno industrial, de moda e interiores;diseno industrial
publica;universitario;ciencias sociales, periodismo e informacion;ciencias sociales y del comportamiento;economia;economia
publica;universitario;salud y bienestar;salud;enfermeria y parteria;enfermeria
publica;universitario;arte y humanidades;idiomas;idiomas no clasificados en otra parte;espanol y filologia clasica
publica;universitario;ciencias naturales, matematicas y estadistica;matematicas y estadistica;estadistica;estadistica
publica;universitario;arte y humanidades;idiomas;literatura y linguistica;estudios literarios
publica;universitario;salud y bienestar;salud;farmacia;farmacia
publica;universitario;arte y humanidades;idiomas;adquisicion del lenguaje;filologia e idiomas
publica;universitario;arte y humanidades;humanidades (excepto idiomas);filosofia y etica;filosofia
publica;universitario;ciencias naturales, matematicas y estadistica;ciencias fisicas;fisica;fisica
publica;universitario;salud y bienestar;salud;fisioterapia, fonoaudiologia, terapia ocupacional, nutricion y afines;fisioterapia
publica;universitario;salud y bienestar;salud;fisioterapia, fonoaudiologia, terapia ocupacional, nutricion y afines;fonoaudiologia
publica;universitario;ciencias sociales, periodismo e informacion;ciencias sociales y del comportamiento;ciencias sociales y del comportamiento no clasificadas en otra parte;geografia
publica;universitario;ciencias naturales, matematicas y estadistica;ciencias fisicas;ciencias de la tierra;geologia
publica;universitario;arte y humanidades;humanidades (excepto idiomas);historia y arqueologia;historia
publica;universitario;agropecuario, silvicultura, pesca y veterinaria;agropecuario;produccion agricola y ganadera;ingenieria agricola
publica;universitario;agropecuario, silvicultura, pesca y veterinaria;agropecuario;produccion agricola y ganadera;ingenieria agronomica
publica;universitario;ingenieria, industria y construccion;arquitectura y construccion;construccion e ingenieria civil;ingenieria civil
publica;universitario;tecnologias de la informacion y la comunicacion tic;programas y certificaciones interdisciplinarios relativos a tecnologias de la informacion y la comunicacion tic;programas y certificaciones interdisciplinarios relativos a tecnologias de la informacion y la comunicacion (tic);ingenieria de sistemas y computacion
publica;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;electricidad y energia;ingenieria electrica
publica;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;electronica y automatizacion;ingenieria electronica
publica;universitario;ingenieria, industria y construccion;industria y procesamiento;industria y procesamiento no clasificados en otra parte;ingenieria industrial
publica;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;mecanica y profesiones afines a la metalisteria;ingenieria mecanica
publica;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;electronica y automatizacion;ingenieria mecatronica
publica;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y procesos quimicos;ingenieria quimica
publica;universitario;arte y humanidades;idiomas;literatura y linguistica;linguistica
publica;universitario;ciencias naturales, matematicas y estadistica;matematicas y estadistica;matematicas;matematicas
publica;universitario;salud y bienestar;salud;medicina;medicina
publica;universitario;agropecuario, silvicultura, pesca y veterinaria;veterinaria;veterinaria;medicina veterinaria
publica;universitario;arte y humanidades;artes;musica y artes escenicas;musica
publica;universitario;arte y humanidades;artes;musica y artes escenicas;musica instrumental
publica;universitario;salud y bienestar;salud;fisioterapia, fonoaudiologia, terapia ocupacional, nutricion y afines;nutricion y dietetica
publica;universitario;salud y bienestar;salud;odontologia y estudios dentales;odontologia
publica;universitario;ciencias sociales, periodismo e informacion;ciencias sociales y del comportamiento;psicologia;psicologia
publica;universitario;ciencias naturales, matematicas y estadistica;ciencias fisicas;quimica;quimica
publica;universitario;ciencias sociales, periodismo e informacion;ciencias sociales y del comportamiento;sociologia, antropologia y estudios culturales;sociologia
publica;universitario;salud y bienestar;salud;fisioterapia, fonoaudiologia, terapia ocupacional, nutricion y afines;terapia ocupacional
publica;universitario;ciencias sociales, periodismo e informacion;ciencias sociales y del comportamiento;trabajo social;trabajo social
publica;universitario;agropecuario, silvicultura, pesca y veterinaria;agropecuario;produccion agricola y ganadera;zootecnia
publica;universitario;educacion;educacion;ciencias de la educacion;licenciatura en artes visuales
publica;universitario;educacion;educacion;ciencias de la educacion;licenciatura en biologia
publica;universitario;educacion;educacion;ciencias de la educacion;licenciatura en ciencias naturales y educacion ambiental
publica;universitario;educacion;educacion;ciencias de la educacion;licenciatura en ciencias sociales
publica;universitario;educacion;educacion;ciencias de la educacion;licenciatura en diseno tecnologico
publica;universitario;educacion;educacion;ciencias de la educacion;licenciatura en educacion basica primaria
publica;universitario;educacion;educacion;formacion para docentes sin asignatura de especializacion;licenciatura en educacion especial
publica;universitario;educacion;educacion;ciencias de la educacion;licenciatura en educacion infantil
publica;universitario;educacion;educacion;ciencias de la educacion;licenciatura en electronica
publica;universitario;educacion;educacion;ciencias de la educacion;licenciatura en espanol e ingles
publica;universitario;educacion;educacion;ciencias de la educacion;licenciatura en espanol y lenguas extranjeras
publica;universitario;educacion;educacion;ciencias de la educacion;licenciatura en filosofia
publica;universitario;educacion;educacion;ciencias de la educacion;licenciatura en fisica
publica;universitario;educacion;educacion;ciencias de la educacion;licenciatura en matematicas
publica;universitario;educacion;educacion;ciencias de la educacion;licenciatura en quimica
publica;universitario;educacion;educacion;formacion para docentes sin asignatura de especializacion;licenciatura en recreacion
publica;universitario;educacion;educacion;ciencias de la educacion;licenciatura en tecnologia
publica;universitario;educacion;educacion;ciencias de la educacion;pedagogia
publica;universitario;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;administracion de riesgos, seguridad y salud en el trabajo
publica;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y profesiones afines no clasificadas en otra parte;ingenieria en mecatronica
publica;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;electronica y automatizacion;ingenieria en multimedia
publica;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;electronica y automatizacion;ingenieria en telecomunicaciones
publica;universitario;educacion;programas y certificaciones interdisciplinarios relativos a educacion;programas y certificaciones interdisciplinarios relativos a educacion;licenciatura en humanidades y educacion para la paz
publica;universitario;ciencias sociales, periodismo e informacion;ciencias sociales y del comportamiento;ciencias politicas y educacion civica;relaciones internacionales y estudios politicos
publica;tecnologico;ingenieria, industria y construccion;ingenieria y profesiones afines;electronica y automatizacion;tecnologia en electronica y comunicaciones
publica;universitario;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;administracion de empresas comerciales
publica;universitario;salud y bienestar;salud;tecnologia de diagnostico y tratamiento medico;bacteriologia y laboratorio clinico
publica;universitario;ingenieria, industria y construccion;arquitectura y construccion;arquitectura y urbanismo;construccion y gestion en arquitectura
publica;universitario;arte y humanidades;artes;tecnicas audiovisuales y produccion para medios de comunicacion;diseno digital y multimedia
publica;universitario;ciencias naturales, matematicas y estadistica;matematicas y estadistica;matematicas;matematica aplicada
publica;tecnologico;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;tecnologia en asistencia gerencial
publica;tecnologico;ciencias sociales, periodismo e informacion;ciencias sociales y del comportamiento;sociologia, antropologia y estudios culturales;tecnologia en atencion integral a la persona mayor
publica;tecnologico;ingenieria, industria y construccion;arquitectura y construccion;construccion e ingenieria civil;tecnologia en delineantes de arquitectura e ingenieria
publica;tecnologico;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;tecnologia en gestion de negocios
publica;tecnologico;ingenieria, industria y construccion;arquitectura y construccion;construccion e ingenieria civil;tecnologia en gestion y ejecucion de construcciones
publica;tecnologico;ciencias naturales, matematicas y estadistica;programas y certificaciones interdisciplinarios relativos a ciencias naturales, matematicas y estadistica;programas y certificaciones interdisciplinarios relativos a ciencias naturales, matematicas y estadistica;tecnologia en procesos quimicos ambientales
publica;universitario;ciencias sociales, periodismo e informacion;programas y certificaciones interdisciplinarios relativos a ciencias sociales, periodismo e informacion;programas y certificaciones interdisciplinarios relativos a ciencias sociales, periodismo e informacion;turismo
publica;universitario;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;administracion ambiental
